Date,Price
01-01-2020,2.02
01-12-2019,2.22
01-11-2019,2.65
01-10-2019,2.33
01-09-2019,2.56
01-08-2019,2.22
01-07-2019,2.37
01-06-2019,2.4
01-05-2019,2.64
01-04-2019,2.65
01-03-2019,2.95
01-02-2019,2.69
01-01-2019,3.11
01-12-2018,4.04
01-11-2018,4.09
01-10-2018,3.28
01-09-2018,3
01-08-2018,2.96
01-07-2018,2.83
01-06-2018,2.97
01-05-2018,2.8
01-04-2018,2.8
01-03-2018,2.69
01-02-2018,2.67
01-01-2018,3.87
01-12-2017,2.82
01-11-2017,3.01
01-10-2017,2.88
01-09-2017,2.98
01-08-2017,2.9
01-07-2017,2.98
01-06-2017,2.98
01-05-2017,3.15
01-04-2017,3.1
01-03-2017,2.88
01-02-2017,2.85
01-01-2017,3.3
01-12-2016,3.59
01-11-2016,2.55
01-10-2016,2.98
01-09-2016,2.99
01-08-2016,2.82
01-07-2016,2.82
01-06-2016,2.59
01-05-2016,1.92
01-04-2016,1.92
01-03-2016,1.73
01-02-2016,1.99
01-01-2016,2.28
01-12-2015,1.93
01-11-2015,2.09
01-10-2015,2.34
01-09-2015,2.66
01-08-2015,2.77
01-07-2015,2.84
01-06-2015,2.78
01-05-2015,2.85
01-04-2015,2.61
01-03-2015,2.83
01-02-2015,2.87
01-01-2015,2.99
01-12-2014,3.48
01-11-2014,4.12
01-10-2014,3.78
01-09-2014,3.92
01-08-2014,3.91
01-07-2014,4.05
01-06-2014,4.59
01-05-2014,4.58
01-04-2014,4.66
01-03-2014,4.9
01-02-2014,6
01-01-2014,4.71
01-12-2013,4.24
01-11-2013,3.64
01-10-2013,3.68
01-09-2013,3.62
01-08-2013,3.43
01-07-2013,3.62
01-06-2013,3.83
01-05-2013,4.04
01-04-2013,4.17
01-03-2013,3.81
01-02-2013,3.33
01-01-2013,3.33
01-12-2012,3.34
01-11-2012,3.54
01-10-2012,3.32
01-09-2012,2.85
01-08-2012,2.84
01-07-2012,2.95
01-06-2012,2.46
01-05-2012,2.43
01-04-2012,1.95
01-03-2012,2.17
01-02-2012,2.51
01-01-2012,2.67
01-12-2011,3.17
01-11-2011,3.24
01-10-2011,3.57
01-09-2011,3.9
01-08-2011,4.06
01-07-2011,4.42
01-06-2011,4.54
01-05-2011,4.31
01-04-2011,4.24
01-03-2011,3.97
01-02-2011,4.09
01-01-2011,4.49
